time,V_C,I_L,V_IN
9.449999999999999e-05,-63.62240509961213,-4.445609209226652,-40.241410112825875
9.499999999999999e-05,-71.44748413105594,-4.008181480814543,-47.027964462393186
9.549999999999999e-05,-78.49068687194476,-3.6124082321723234,-53.7897406374264
9.6e-05,-84.81949539141739,-3.213384067410234,-61.80813673044501
9.65e-05,-90.43006336402705,-2.8715762089822605,-70.67912465225278
9.7e-05,-95.46110442075825,-2.561918017080206,-79.63571235839186
9.75e-05,-99.95473784601249,-2.295451310035687,-83.46015891678525
9.8e-05,-103.95565687473598,-2.0285668137262842,-85.64375963846109
9.85e-05,-107.48050982783566,-1.7790787084623647,-88.38436649603636
9.9e-05,-110.53795606806818,-1.5201033974969473,-90.24810449388309
9.949999999999999e-05,-113.10610141859212,-1.2504604422084438,-91.62422083164324
9.999999999999999e-05,-115.18429679548319,-0.9900679685727045,-92.51268528300521
0.00010049999999999999,-116.77579505405453,-0.7342576353703362,-91.23530713744108
0.000101,-117.87912931677992,-0.4555788191523098,-88.07954514615645
0.0001015,-118.43939023571654,-0.14499821512010225,-85.92748379266342
0.000102,-118.40579638067634,0.181805886031018,-85.22139358154593
0.0001025,-117.76725488985788,0.505278989830467,-86.24955791851129
0.000103,-116.53852086458551,0.8111784123756048,-92.3672174928858
0.0001035,-114.8536952315918,0.9897192849749428,-100.67939637665248
0.000104,-112.92517086803932,1.0798015133967394,-104.36722386669453
0.00010449999999999999,-110.87820621568562,1.1228024896570266,-103.0667539199641
0.00010499999999999999,-108.7691512191832,1.1605257166784484,-100.79881664903712
0.00010549999999999999,-106.59339549442666,1.1865167492572977,-97.09109152035492
0.000106,-104.34313977725309,1.2507640978292032,-90.82223007233728
0.0001065,-101.9392471556981,1.357410341183151,-77.86370750124786
0.000107,-99.21085234647036,1.6157367670649827,-62.542252486791064
0.0001075,-95.93347225716144,1.9164936840766826,-49.24727765529678
0.000108,-92.05456631405593,2.286015737052596,-40.43500043624544
0.0001085,-87.42487873206423,2.721669827661506,-36.31004548372031
0.00010899999999999999,-81.99124201135278,3.139159191117588,-33.3513196878071
0.00010949999999999999,-75.8295164839836,3.5066198052907867,-32.84600665372351
0.00010999999999999999,-69.06595740299136,3.7834211148030765,-35.8867696813562
0.00011049999999999999,-61.87118577206792,3.967203411699488,-40.92968094490254
0.000111,-54.46891025845542,4.001259634792166,-46.70162271534253
0.0001115,-47.11615218278344,3.911349531258654,-48.01855891591687
0.000112,-40.00583954972231,3.75198595805585,-46.255161922858875
0.0001125,-33.25258364992993,3.549928502014037,-43.285008863201455
0.000113,-26.90040357451588,3.308681787677292,-37.41941212217951
0.0001135,-20.997487820123872,3.056472178501195,-31.74294052784095
0.00011399999999999999,-15.558577361054603,2.820910524583671,-27.61215830364735
0.00011449999999999999,-10.549770439046604,2.6083144713302877,-20.916872739884866
0.00011499999999999999,-5.907813067232096,2.4130520126053594,-13.735150120109534
0.00011549999999999999,-1.5990348557101157,2.2437895849374176,-9.451403956788894
